Year,Month,Day,Rank,Title,Principal,Collaborator,Peak_position,Weeks_in_chart
2013,06,15,16,More,Zion,Jory,16,6
2013,06,15,16,More,Zion,Ken-Y,16,6
2013,06,15,17,Por Un Segundo,Aventura,,17,1
2013,06,15,18,Stand By Me,Prince Royce,,13,9
2013,06,15,19,Rabiosa,Shakira,Pitbull,14,9
2013,06,15,19,Rabiosa,Shakira,El Cata,14,9
2013,06,15,20,Me Prefieres A Mi,Arcangel,,18,8
2013,06,15,21,Gasolina,Daddy Yankee,,21,4
2013,06,15,22,Promise,Romeo Santos,Usher,5,9
2013,06,15,23,"Bon, Bon",Pitbull,,21,5
2013,06,15,24,La Pregunta,J Alvarez,,23,3
2013,06,15,25,Como La Flor,Selena,,11,8
2013,06,22,1,Danza Kuduro,Don Omar,Lucenzo,1,10
2013,06,22,2,Waka Waka (Esto Es Africa),Shakira,Freshlyground,1,10
2013,06,22,3,Hips Don't Lie,Shakira,Wyclef Jean,1,10
2013,06,22,4,Ai Se Eu Te Pego,Michel Telo,,4,10
2013,06,22,5,El Coco No,Roberto Junior y Su Bandeno,,5,10
2013,06,22,6,Damaso,Gerardo Ortiz,,6,9
2013,06,22,7,Loba,Shakira,,5,10
2013,06,22,8,Vivir Mi Vida,Marc Anthony,,7,6
2013,06,22,9,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,7,10
2013,06,22,9,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,7,10
2013,06,22,10,Incondicional,Prince Royce,,9,10
2013,06,22,11,Junto Al Amanecer,J Alvarez,,11,8
2013,06,22,12,"Suerte [Whenever, Wherever]",Shakira,,8,10
2013,06,22,13,Loca,Shakira,El Cata,5,10
2013,06,22,14,Vamos A La Playa,Loona,,14,1
2013,06,22,15,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",14,9
2013,06,22,15,Debate de 4,Romeo Santos,Luis Varges,14,9
2013,06,22,15,Debate de 4,Romeo Santos,Raulin Rodriguez,14,9
2013,06,22,16,El Amor Que Perdimos,Prince Royce,,15,10
2013,06,22,17,Rabiosa,Shakira,Pitbull,14,10
2013,06,22,17,Rabiosa,Shakira,El Cata,14,10
2013,06,22,18,Stand By Me,Prince Royce,,13,10
2013,06,22,19,Promise,Romeo Santos,Usher,5,10
2013,06,22,20,Mi Nina Traviesa,Luis Coronel,,20,1
2013,06,22,21,More,Zion,Jory,16,7
2013,06,22,21,More,Zion,Ken-Y,16,7
2013,06,22,22,Por Un Segundo,Aventura,,17,2
2013,06,22,23,La Pregunta,J Alvarez,,23,4
2013,06,22,24,"Bon, Bon",Pitbull,,21,6
2013,06,22,25,El Amante,Daddy Yankee,J. Alvarez,25,1
2013,06,29,1,Danza Kuduro,Don Omar,Lucenzo,1,11
2013,06,29,2,Waka Waka (Esto Es Africa),Shakira,Freshlyground,1,11
2013,06,29,3,Hips Don't Lie,Shakira,Wyclef Jean,1,11
2013,06,29,4,Ai Se Eu Te Pego,Michel Telo,,4,11
2013,06,29,5,El Coco No,Roberto Junior y Su Bandeno,,5,11
2013,06,29,6,Loba,Shakira,,5,11
2013,06,29,7,Damaso,Gerardo Ortiz,,6,10
2013,06,29,8,Vivir Mi Vida,Marc Anthony,,7,7
2013,06,29,9,Incondicional,Prince Royce,,9,11
2013,06,29,10,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",10,10
2013,06,29,10,Debate de 4,Romeo Santos,Luis Varges,10,10
2013,06,29,10,Debate de 4,Romeo Santos,Raulin Rodriguez,10,10
2013,06,29,11,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,7,11
2013,06,29,11,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,7,11
2013,06,29,12,Me Prefieres A Mi,Arcangel,,12,9
2013,06,29,13,Vamos A La Playa,Loona,,13,2
2013,06,29,14,More,Zion,Jory,14,8
2013,06,29,14,More,Zion,Ken-Y,14,8
2013,06,29,15,Loca,Shakira,El Cata,5,11
2013,06,29,16,"Suerte [Whenever, Wherever]",Shakira,,8,11
2013,06,29,17,El Amor Que Perdimos,Prince Royce,,15,11
2013,06,29,18,Stand By Me,Prince Royce,,13,11
2013,06,29,19,La Pregunta,J Alvarez,,19,5
2013,06,29,20,Junto Al Amanecer,J Alvarez,,11,9
2013,06,29,21,Rabiosa,Shakira,Pitbull,14,11
2013,06,29,21,Rabiosa,Shakira,El Cata,14,11
2013,06,29,22,Gasolina,Daddy Yankee,,21,5
2013,06,29,23,Como La Flor,Selena,,11,9
2013,06,29,24,Por Un Segundo,Aventura,,17,3
2013,06,29,25,El Amante,Daddy Yankee,J. Alvarez,25,2
2013,07,06,1,Danza Kuduro,Don Omar,Lucenzo,1,12
2013,07,06,2,Waka Waka (Esto Es Africa),Shakira,Freshlyground,1,12
2013,07,06,3,Hips Don't Lie,Shakira,Wyclef Jean,1,12
2013,07,06,4,Ai Se Eu Te Pego,Michel Telo,,4,12
2013,07,06,5,El Coco No,Roberto Junior y Su Bandeno,,5,12
2013,07,06,6,Loba,Shakira,,5,12
2013,07,06,7,Vivir Mi Vida,Marc Anthony,,7,8
2013,07,06,8,Damaso,Gerardo Ortiz,,6,11
2013,07,06,9,Me Prefieres A Mi,Arcangel,,9,10
2013,07,06,10,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,7,12
2013,07,06,10,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,7,12
2013,07,06,11,La Noche de Los 2,Daddy Yankee,Natalia Jimenez,11,1
2013,07,06,12,Junto Al Amanecer,J Alvarez,,11,10
2013,07,06,13,Incondicional,Prince Royce,,9,12
2013,07,06,14,"Suerte [Whenever, Wherever]",Shakira,,8,12
2013,07,06,15,Loca,Shakira,El Cata,5,12
2013,07,06,16,La Pregunta,J Alvarez,,16,6
2013,07,06,17,El Amor Que Perdimos,Prince Royce,,15,12
2013,07,06,18,Gasolina,Daddy Yankee,,18,6
2013,07,06,19,Stand By Me,Prince Royce,,13,12
2013,07,06,20,Rabiosa,Shakira,Pitbull,14,12
2013,07,06,20,Rabiosa,Shakira,El Cata,14,12
2013,07,06,21,Por Un Segundo,Aventura,,17,4
2013,07,06,22,More,Zion,Jory,14,9
2013,07,06,22,More,Zion,Ken-Y,14,9
2013,07,06,23,Como La Flor,Selena,,11,10
2013,07,06,24,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",10,11
2013,07,06,24,Debate de 4,Romeo Santos,Luis Varges,10,11
2013,07,06,24,Debate de 4,Romeo Santos,Raulin Rodriguez,10,11
2013,07,06,25,"Bon, Bon",Pitbull,,21,7
2013,07,13,1,Danza Kuduro,Don Omar,Lucenzo,1,13
2013,07,13,2,Waka Waka (Esto Es Africa),Shakira,Freshlyground,1,13
2013,07,13,3,Hips Don't Lie,Shakira,Wyclef Jean,1,13
2013,07,13,4,Ai Se Eu Te Pego,Michel Telo,,4,13
2013,07,13,5,El Coco No,Roberto Junior y Su Bandeno,,5,13
2013,07,13,6,Vivir Mi Vida,Marc Anthony,,6,9
2013,07,13,7,Loba,Shakira,,5,13
2013,07,13,8,Damaso,Gerardo Ortiz,,6,12
2013,07,13,9,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,7,13
2013,07,13,9,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,7,13
2013,07,13,10,Me Prefieres A Mi,Arcangel,,9,11
2013,07,13,11,"Suerte [Whenever, Wherever]",Shakira,,8,13
2013,07,13,12,Incondicional,Prince Royce,,9,13
2013,07,13,13,Junto Al Amanecer,J Alvarez,,11,11
2013,07,13,14,La Pregunta,J Alvarez,,14,7
2013,07,13,15,Loca,Shakira,El Cata,5,13
2013,07,13,16,El Amor Que Perdimos,Prince Royce,,15,13
2013,07,13,17,More,Zion,Jory,14,10
2013,07,13,17,More,Zion,Ken-Y,14,10
2013,07,13,18,Rabiosa,Shakira,Pitbull,14,13
2013,07,13,18,Rabiosa,Shakira,El Cata,14,13
2013,07,13,19,La Noche de Los 2,Daddy Yankee,Natalia Jimenez,11,2
2013,07,13,20,Stand By Me,Prince Royce,,13,13
2013,07,13,21,Por Un Segundo,Aventura,,17,5
2013,07,13,22,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",10,12
2013,07,13,22,Debate de 4,Romeo Santos,Luis Varges,10,12
2013,07,13,22,Debate de 4,Romeo Santos,Raulin Rodriguez,10,12
2013,07,13,23,Promise,Romeo Santos,Usher,5,11
2013,07,13,24,Creo En Ti,Reik,,24,1
2013,07,13,25,Amor Confuso,Gerardo Ortiz,,23,5
2013,07,20,1,Danza Kuduro,Don Omar,Lucenzo,1,14
2013,07,20,2,Waka Waka (Esto Es Africa),Shakira,Freshlyground,1,14
2013,07,20,3,Hips Don't Lie,Shakira,Wyclef Jean,1,14
2013,07,20,4,Vivir Mi Vida,Marc Anthony,,4,10
2013,07,20,5,El Coco No,Roberto Junior y Su Bandeno,,5,14
2013,07,20,6,Ai Se Eu Te Pego,Michel Telo,,4,14
2013,07,20,7,Damaso,Gerardo Ortiz,,6,13
2013,07,20,8,Loba,Shakira,,5,14
2013,07,20,9,Me Prefieres A Mi,Arcangel,,9,12
2013,07,20,10,Corazon Sin Cara,Prince Royce,,10,4
2013,07,20,11,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,7,14
2013,07,20,11,Algo Me Gusta De Ti,Wisin-Yandel,T-Pain,7,14
2013,07,20,12,Incondicional,Prince Royce,,9,14
2013,07,20,13,Junto Al Amanecer,J Alvarez,,11,12
2013,07,20,14,Por Un Segundo,Aventura,,14,6
2013,07,20,15,Loca,Shakira,El Cata,5,14
2013,07,20,16,La Pregunta,J Alvarez,,14,8
2013,07,20,17,Gasolina,Daddy Yankee,,17,7
2013,07,20,18,Rabiosa,Shakira,Pitbull,14,14
2013,07,20,18,Rabiosa,Shakira,El Cata,14,14
2013,07,20,19,Debate de 4,Romeo Santos,"Anthony ""El Mayimbe"" Santos",10,13
2013,07,20,19,Debate de 4,Romeo Santos,Luis Varges,10,13
2013,07,20,19,Debate de 4,Romeo Santos,Raulin Rodriguez,10,13
2013,07,20,20,"Suerte [Whenever, Wherever]",Shakira,,8,14
2013,07,20,21,El Amor Que Perdimos,Prince Royce,,15,14
2013,07,20,22,More,Zion,Jory,14,11
2013,07,20,22,More,Zion,Ken-Y,14,11
2013,07,20,23,Como La Flor,Selena,,11,11
2013,07,20,24,Stand By Me,Prince Royce,,13,14
2013,07,20,25,El Amante,Daddy Yankee,J. Alvarez,25,3
2013,07,27,1,Danza Kuduro,Don Omar,Lucenzo,1,15
2013,07,27,2,Waka Waka (Esto Es Africa),Shakira,Freshlyground,1,15
2013,07,27,3,Hips Don't Lie,Shakira,Wyclef Jean,1,15
2013,07,27,4,Vivir Mi Vida,Marc Anthony,,4,11
2013,07,27,5,El Coco No,Roberto Junior y Su Bandeno,,5,15
2013,07,27,6,Ai Se Eu Te Pego,Michel Telo,,4,15
2013,07,27,7,Damaso,Gerardo Ortiz,,6,14
2013,07,27,8,Loba,Shakira,,5,15
2013,07,27,9,Corazon Sin Cara,Prince Royce,,9,5
2013,07,27,10,Limbo,Daddy Yankee,,10,9
2013,07,27,11,Algo Me Gusta De Ti,Wisin-Yandel,Chris Brown,7,15
